date,datetime,wait_time(posted),wait_time(actual)
2018-01-05,2018-01-05 09:26:00,95.0,
2018-01-05,2018-01-05 09:30:00,95.0,
2018-01-05,2018-01-05 09:42:00,95.0,
2018-01-05,2018-01-05 09:45:00,95.0,
2018-01-05,2018-01-05 08:50:00,,56.0
2018-01-05,2018-01-05 09:58:00,120.0,
2018-01-05,2018-01-05 09:58:00,120.0,
2018-01-05,2018-01-05 10:01:00,120.0,
2018-01-05,2018-01-05 10:03:00,120.0,
2018-01-05,2018-01-05 10:10:00,120.0,
2018-01-05,2018-01-05 10:17:00,120.0,
2018-01-05,2018-01-05 10:24:00,120.0,
2018-01-05,2018-01-05 10:30:00,120.0,
2018-01-05,2018-01-05 10:42:00,135.0,
2018-01-05,2018-01-05 10:51:00,135.0,
2018-01-05,2018-01-05 10:52:00,135.0,
2018-01-05,2018-01-05 10:59:00,135.0,
2018-01-05,2018-01-05 11:03:00,135.0,
2018-01-05,2018-01-05 11:16:00,135.0,
2018-01-05,2018-01-05 11:17:00,135.0,
2018-01-05,2018-01-05 11:28:00,125.0,
2018-01-05,2018-01-05 11:32:00,125.0,
2018-01-05,2018-01-05 11:40:00,125.0,
2018-01-05,2018-01-05 11:51:00,115.0,
2018-01-05,2018-01-05 11:58:00,115.0,
2018-01-05,2018-01-05 11:59:00,115.0,
2018-01-05,2018-01-05 12:03:00,115.0,
2018-01-05,2018-01-05 12:10:00,110.0,
2018-01-05,2018-01-05 12:19:00,110.0,
2018-01-05,2018-01-05 12:24:00,110.0,
2018-01-05,2018-01-05 12:32:00,110.0,
2018-01-05,2018-01-05 12:38:00,105.0,
2018-01-05,2018-01-05 12:47:00,110.0,
2018-01-05,2018-01-05 12:52:00,110.0,
2018-01-05,2018-01-05 13:01:00,110.0,
2018-01-05,2018-01-05 13:04:00,110.0,
2018-01-05,2018-01-05 13:05:00,110.0,
2018-01-05,2018-01-05 13:10:00,120.0,
2018-01-05,2018-01-05 13:17:00,120.0,
2018-01-05,2018-01-05 13:30:00,110.0,
2018-01-05,2018-01-05 13:30:00,110.0,
2018-01-05,2018-01-05 13:40:00,110.0,
2018-01-05,2018-01-05 13:47:00,110.0,
2018-01-05,2018-01-05 13:56:00,110.0,
2018-01-05,2018-01-05 14:01:00,110.0,
2018-01-05,2018-01-05 14:09:00,110.0,
2018-01-05,2018-01-05 14:10:00,110.0,
2018-01-05,2018-01-05 14:17:00,110.0,
2018-01-05,2018-01-05 14:26:00,110.0,
2018-01-05,2018-01-05 14:30:00,110.0,
2018-01-05,2018-01-05 14:30:00,110.0,
2018-01-05,2018-01-05 14:40:00,110.0,
